EXPERIMENT_NAME,EXPERIMENT_NAME_VERSION,epoch_number,train_loss,val_loss,train_metric_iou,val_metric_iou,train_metric_accuracy,val_metric_accuracy,train_masked_iou,val_masked_iou,train_masked_accuracy,val_masked_accuracy
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,1,0.45860503566265104,0.5980702627897263,0.44717496633529663,0.0,0.7635127902030945,0.7155780792236328,0.6601994633674622,0.0,0.6601994633674622,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,2,0.43094939440488816,0.6905968238115311,0.4397294521331787,0.013421491719782352,0.7796704173088074,0.7192809581756592,0.5968130230903625,0.013426966965198517,0.5968130230903625,0.013426965102553368
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,3,0.4237410901784897,0.793466663479805,0.44930657744407654,0.0,0.7860637307167053,0.7155780792236328,0.6024140119552612,0.0,0.6024140119552612,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,4,0.41720323407649995,0.7865031878948212,0.454365074634552,0.0,0.7906988859176636,0.7155780792236328,0.6015226244926453,0.0,0.6015226244926453,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,5,0.4140270848870277,0.9080172870457173,0.45655152201652527,0.0009821192361414433,0.7943868637084961,0.715749979019165,0.5961562991142273,0.0009824903681874275,0.5961562991142273,0.0009824903681874275
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,6,0.4096182491183281,0.7016164452880621,0.4593410789966583,0.0,0.7969961762428284,0.7155780792236328,0.5952423810958862,0.0,0.5952423810958862,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,7,0.40481670916080476,0.5956853941380977,0.46357113122940063,0.002033377066254616,0.8003261089324951,0.716073215007782,0.5955294966697693,0.0020339726470410824,0.5955294966697693,0.0020339726470410824
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,8,0.4003261607289314,0.5955499150454998,0.4719550311565399,0.10388416796922684,0.8016130924224854,0.742109477519989,0.6119564175605774,0.10511323809623718,0.6119564175605774,0.10511323809623718
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,9,0.39806849133968353,0.4454063720405102,0.480267196893692,0.3621905446052551,0.8053290247917175,0.8047841191291809,0.6208429932594299,0.3897607922554016,0.6208429932594299,0.3897607624530792
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,10,0.3914773163199425,0.41133347135782244,0.48855727910995483,0.42242303490638733,0.80836421251297,0.8178514242172241,0.6317899823188782,0.4683821499347687,0.6317899823188782,0.4683821499347687
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,11,0.3845979668498039,0.47878086659312247,0.5035154223442078,0.3048686385154724,0.8148494362831116,0.7871905565261841,0.6480520367622375,0.3281509578227997,0.6480520367622375,0.3281509280204773
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,12,0.3831117125749588,0.41815861107409,0.5037897825241089,0.3986121714115143,0.8154193162918091,0.8132316470146179,0.6467668414115906,0.43524736166000366,0.6467668414115906,0.4352473318576813
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,13,0.3758988448381424,0.3795796200335026,0.5167623162269592,0.5051771998405457,0.8215137124061584,0.838581919670105,0.6587379574775696,0.579406201839447,0.65873783826828,0.5794061422348022
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,14,0.3704652960300446,0.40025214332342146,0.5250913500785828,0.4045043885707855,0.8250792622566223,0.8073517084121704,0.6674883961677551,0.4600940942764282,0.6674883961677551,0.4600940942764282
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,15,0.3726386377811432,0.3671220574378967,0.5190047025680542,0.5031359791755676,0.8226622343063354,0.8392841815948486,0.6604036688804626,0.5721940994262695,0.6604036688804626,0.5721940994262695
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,16,0.3635615636110306,0.3562108784019947,0.5361846089363098,0.5654203295707703,0.8295654058456421,0.8529056310653687,0.6799931526184082,0.6728758811950684,0.6799931526184082,0.6728758811950684
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,17,0.3556474767923355,0.3619452423751354,0.5503773093223572,0.573540210723877,0.835397481918335,0.8502456545829773,0.695387065410614,0.7081122994422913,0.695387065410614,0.7081122994422913
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,18,0.35440467250347135,0.34890327405929566,0.5540436506271362,0.5750910639762878,0.8370765447616577,0.8490080237388611,0.6985750198364258,0.7185078263282776,0.6985750198364258,0.7185078263282776
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,19,0.3459440582096577,0.34397226214408877,0.5692474842071533,0.5935443043708801,0.842308759689331,0.8463398218154907,0.719214677810669,0.7889293432235718,0.719214677810669,0.7889293432235718
