Experiment_Name,Experiment_Version,Epoch,train_iou,train_accuracy,train_precision,train_recall,train_f1,train_iou_masked,train_accuracy_masked,train_precision_masked,train_recall_masked,train_f1_masked,train_train_loss,val_iou,val_accuracy,val_precision,val_recall,val_f1,val_iou_masked,val_accuracy_masked,val_precision_masked,val_recall_masked,val_f1_masked,val_eval_loss
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,1,0.22376017272472382,0.8662327527999878,0.48839452862739563,0.29226556420326233,0.3656928241252899,0.29226556420326233,0.29226556420326233,1.0,0.29226556420326233,0.45233047008514404,0.331651080931936,0.3427155911922455,0.8492259383201599,0.4488687813282013,0.5916988849639893,0.5104812979698181,0.5916988849639893,0.5916988849639893,1.0,0.5916988849639893,0.743480920791626,0.37265809518950327
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,2,0.36371898651123047,0.899503231048584,0.688349187374115,0.4354216456413269,0.5334221720695496,0.4354216456413269,0.4354216456413269,1.0,0.4354216456413269,0.6066811680793762,0.2714167183398136,0.057046886533498764,0.8079128265380859,0.1409188061952591,0.08746491372585297,0.10793634504079819,0.08746491372585297,0.08746491372585297,1.0,0.08746491372585297,0.16086021065711975,6.1757084125919
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,3,0.38406848907470703,0.9038998484611511,0.7132670283317566,0.45419394969940186,0.5549848079681396,0.45419394969940186,0.45419394969940186,1.0,0.45419394969940186,0.6246675848960876,0.25815481040626764,0.46722522377967834,0.9119543433189392,0.70444655418396,0.5811448693275452,0.6368827819824219,0.5811448693275452,0.5811448693275452,1.0,0.5811448693275452,0.7350937724113464,0.2389237599979554
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,4,0.39956873655319214,0.9066359400749207,0.7250564694404602,0.4709216356277466,0.5709882974624634,0.4709216356277466,0.4709216356277466,1.0,0.4709216356277466,0.6403082609176636,0.24951935566163488,0.43871989846229553,0.9152202606201172,0.7846863865852356,0.49876201152801514,0.6098753213882446,0.49876201152801514,0.49876201152801514,1.0,0.49876201152801514,0.6655653119087219,0.23003561541970288
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,5,0.4165906608104706,0.9102187156677246,0.7448914051055908,0.4859180152416229,0.5881595015525818,0.4859180152416229,0.4859180152416229,1.0,0.4859180152416229,0.6540306806564331,0.23938999850569026,0.362614244222641,0.9116445183753967,0.8972241282463074,0.3783288896083832,0.5322331786155701,0.3783288896083832,0.3783288896083832,1.0,0.3783288896083832,0.5489675402641296,0.2394980825483799
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,6,0.42949292063713074,0.912735641002655,0.7575565576553345,0.49793514609336853,0.6009024381637573,0.49793514609336853,0.49793514609336853,1.0,0.49793514609336853,0.6648287177085876,0.23052462449829494,0.23252743482589722,0.8925969004631042,0.8213018774986267,0.24491862952709198,0.3773180842399597,0.24491862952709198,0.24491862952709198,1.0,0.24491862952709198,0.39346930384635925,0.2976452599146536
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,7,0.43509694933891296,0.9114998579025269,0.733786404132843,0.5166505575180054,0.6063659191131592,0.5166505575180054,0.5166505575180054,1.0,0.5166505575180054,0.6813046932220459,0.22855889205155627,0.29556044936180115,0.9011322855949402,0.8471290469169617,0.31221267580986023,0.4562665522098541,0.31221267580986023,0.31221267580986023,1.0,0.31221267580986023,0.47585681080818176,0.2697027161983507
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,8,0.44733598828315735,0.9130259156227112,0.7345705628395081,0.533584713935852,0.6181508302688599,0.533584713935852,0.533584713935852,1.0,0.533584713935852,0.6958659887313843,0.22474315256944724,0.2864520251750946,0.9022287130355835,0.904219388961792,0.2954157590866089,0.4453364908695221,0.2954157590866089,0.2954157590866089,1.0,0.2954157590866089,0.4560941159725189,0.2740902995158519
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,9,0.4416278898715973,0.9135285019874573,0.7489199042320251,0.5183781981468201,0.6126794815063477,0.5183781981468201,0.5183781981468201,1.0,0.5183781981468201,0.6828051805496216,0.22867712937295437,0.4545997977256775,0.9227322936058044,0.8796926736831665,0.48473653197288513,0.6250513792037964,0.48473653197288513,0.48473653197288513,1.0,0.48473653197288513,0.6529596447944641,0.22643745198313678
HRNET_binary_grayscale_bike-asphalt,HRNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1708034539.209278,10,0.45603951811790466,0.9156979918479919,0.7541234493255615,0.5356905460357666,0.6264109015464783,0.5356905460357666,0.5356905460357666,1.0,0.5356905460357666,0.6976542472839355,0.2182689547272665,0.4079681932926178,0.908355712890625,0.7422265410423279,0.4753136932849884,0.5795133709907532,0.4753136932849884,0.4753136932849884,1.0,0.4753136932849884,0.6443560719490051,0.23622513495917832
