Experiment,Version,Epoch,Train Loss,Validation Loss,Train IoU,Validation IoU,Train Accuracy,Validation Accuracy
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589116.985974,1,0.8008750677108765,3.568351750422014e+27,0.1914815455675125,0.0,0.6181278228759766,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589118.233091,1,0.6879502534866333,3.187988077976492e+26,0.00502474932000041,0.0,0.7084283828735352,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589116.985974,2,0.6851004362106323,9.595875581229007e+18,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589118.233091,2,0.8547602295875549,2.193174733301534e+19,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589116.985974,3,0.9135557413101196,829857340588032.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589118.233091,3,0.5960344076156616,3603905447460864.0,0.04126957803964615,0.0,0.7366466522216797,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589116.985974,4,0.5769146084785461,223242780672.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589118.233091,4,1.0432155132293701,361038675968.0,0.04415810853242874,0.4724607467651367,0.7342815399169922,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589273.726556,1,0.7050073146820068,2.0166805190839377e+26,0.03720000013709068,0.0,0.6878128051757812,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589275.985762,1,0.8365523815155029,5.893587157597612e+25,0.07048670202493668,0.0,0.5983924865722656,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589273.726556,2,0.6600790619850159,1.0344957635991867e+21,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589275.985762,2,0.5848942399024963,3.3274190010131174e+21,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589273.726556,3,0.6377711296081543,26221278658560.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589275.985762,3,0.6008238196372986,13706483204096.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589273.726556,4,0.5370956063270569,94707924992.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589275.985762,4,0.5506737232208252,76153208832.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,1,0.7581558227539062,5.939903703786484e+25,0.01879076287150383,0.0,0.6741676330566406,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,2,0.8943817615509033,7.23527346247579e+20,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,1,0.7210811376571655,7.046705673431166e+26,0.18317054212093353,0.0,0.7217302322387695,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,3,0.6162890195846558,86011619049472.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,2,1.4395081996917725,1.7343965576985104e+20,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,4,1.3086897134780884,4804793335808.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,3,0.6459230780601501,486654322147328.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,5,1.2619407176971436,10995856384.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,4,0.5899314284324646,235570102272.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,6,0.7067205309867859,672769408.0,0.0,0.4724607467651367,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,5,0.503230631351471,4272369408.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,7,0.6057519912719727,89246568.0,0.1602327972650528,0.4724607467651367,0.7524375915527344,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,6,0.46083924174308777,330612160.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,7,0.47197312116622925,63981416.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,8,0.442188024520874,16222092.0,0.0,0.0,0.726348876953125,0.0
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,9,0.4371872544288635,5692443.0,0.0,0.0,0.726348876953125,0.0
