EXPERIMENT_NAME,EXPERIMENT_NAME_VERSION,IMG_DIR,LABEL_DIR,VAL_DIR,CLASS_NAME,EPOCHS,THRESHOLD,MASK_COUNT,DEVICE,LR,OPTIMIZER,CRITERION,RUNNING_TIME
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1706486863.143351,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,99999,cuda,0.01,Adam,BCEWithLogitsLoss,1067.3693227767944
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706487772.653718,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,9999,cuda,0.001,Adam,BCEWithLogitsLoss,241.4562816619873
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_1706489742.659002,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/clinkers,clinkers,20,0.5,9999,cuda,0.001,Adam,BCEWithLogitsLoss,59.497376680374146
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_1706553461.923154,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,20,0.5,400,cuda,0.001,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_1706554945.915993,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,20,0.5,400,cuda,0.001,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_mozaik,UNET_binary_grayscale_mozaik_1707416547.454779,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/mozaik,mozaik,20,0.5,99999999,cuda,0.001,Adam,BCEWithLogitsLoss,2867.9865911006927
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_1706555607.973776,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,20,0.5,400,cuda,0.001,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_1706555607.973776,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,20,0.5,400,cuda,0.001,Adam,BCEWithLogitsLoss,271.52760672569275
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1706552126.202142,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/grass,grass,20,0.5,999999999,cuda,0.001,Adam,BCEWithLogitsLoss,4355.835378885269
