EXPERIMENT_NAME,EXPERIMENT_NAME_VERSION,IMG_DIR,LABEL_DIR,VAL_DIR,CLASS_NAME,EPOCHS,THRESHOLD,MASK_COUNT,DEVICE,LR,OPTIMIZER,CRITERION
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589116.985974,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,4,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589118.233091,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,4,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589273.726556,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,4,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589275.985762,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,4,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589409.337273,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704589440.149828,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704592436.772868,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704592486.633228,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704593131.151373,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704593195.71813,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,4,cpu,0.1,Adam,BCEWithLogitsLoss
