experiment,class,train_precision,train_recall,train_f1,train_jaccard,validation_precision,validation_recall,validation_f1,validation_jaccard,test_precision,test_recall,test_f1,test_jaccard,train_accuracy,validation_accuracy,test_accuracy
asphalt_svm_2,asphalt,0.2852044455301855,0.9591748708449833,0.4396745166139593,0.2817838465727213,0.2791114693946204,0.9531869509335563,0.43178731075869037,0.27533721268866024,0.28298703036514994,0.936479627223617,0.43463523509445906,0.27765747948254504,0.29163172912597657,0.28646996307373046,0.2900179108576988
bike-asphalt_svm_2,bike-asphalt,0.13212341944763067,0.9961606972289486,0.23330321803147766,0.13205617421882787,0.13296884488141697,0.9955048783029435,0.23460206652970034,0.13288905695529815,0.13669710706811095,0.9976671850699844,0.24044871468723925,0.13665342789056553,0.13618373019354685,0.13695148059300014,0.14122502644856771
clinkers_svm_2,clinkers,0.3028146344194379,0.04090006417957426,0.07206638548046616,0.03738011772694053,0.44452144285394607,0.08306972163954109,0.13998063275428602,0.07525762108679925,0.8342852521658259,0.126902850816496,0.2202964780057203,0.12378268362297952,0.8481855392456055,0.8969110761369977,0.7771442413330079
grass_svm_2,grass,0.32947562279884246,0.9839731372935915,0.49365483005872524,0.32771694025345505,0.33508315514522397,0.9836047456285267,0.49987473364642687,0.3332219947614751,0.33182282966835386,0.9857218434137827,0.4965069011016019,0.33023557039629253,0.37225765228271485,0.3736292495727539,0.3713179931640625
mozaik_svm_2,mozaik,0.4731945777745387,0.19098603910184678,0.2721354879600465,0.15749816381074785,0.4951065871700084,0.20857888005504605,0.2935083422058756,0.17199518138006933,0.45733559143174557,0.19558833779539417,0.2739967219418324,0.1587463508470802,0.7413750762939453,0.7442358169555664,0.7310016555786133
tiles_svm_2,tiles,0.13746486770025593,0.8532671896296726,0.23678301407047617,0.1342903431398434,0.13577353246953186,0.8418772148257665,0.23383533164319195,0.13239724235948283,0.1393769159949945,0.8441694564498868,0.23925203470515505,0.13588090937540354,0.18960702514648436,0.19285962677001953,0.19112174224853515
